Date,Away,Home,Attendance,Type
2021-04-01,Houston Astros,Oakland Athletics,10436,R
2021-04-01,Arizona Diamondbacks,San Diego Padres,10350,R
2021-04-01,San Francisco Giants,Seattle Mariners,8174,R
2021-04-01,Atlanta Braves,Philadelphia Phillies,8529,R
2021-04-01,Tampa Bay Rays,Miami Marlins,7062,R
2021-04-01,Toronto Blue Jays,New York Yankees,10850,R
2021-04-01,Minnesota Twins,Milwaukee Brewers,11740,R
2021-04-01,Chicago White Sox,Los Angeles Angels,13207,R
2021-04-01,Pittsburgh Pirates,Chicago Cubs,10343,R
2021-04-01,St. Louis Cardinals,Cincinnati Reds,12264,R
2021-04-01,Los Angeles Dodgers,Colorado Rockies,20570,R
2021-04-01,Cleveland Indians,Detroit Tigers,8000,R
2021-04-01,Texas Rangers,Kansas City Royals,9155,R
2021-04-02,Houston Astros,Oakland Athletics,5446,R
2021-04-02,Arizona Diamondbacks,San Diego Padres,10350,R
2021-04-02,San Francisco Giants,Seattle Mariners,8392,R
2021-04-02,Tampa Bay Rays,Miami Marlins,6115,R
2021-04-02,Chicago White Sox,Los Angeles Angels,12763,R
2021-04-02,Baltimore Orioles,Boston Red Sox,4452,R
2021-04-02,Los Angeles Dodgers,Colorado Rockies,20363,R
2021-04-03,Houston Astros,Oakland Athletics,5803,R
2021-04-03,Arizona Diamondbacks,San Diego Padres,10350,R
2021-04-03,San Francisco Giants,Seattle Mariners,8651,R
2021-04-03,Atlanta Braves,Philadelphia Phillies,8582,R
2021-04-03,Tampa Bay Rays,Miami Marlins,6179,R
2021-04-03,Toronto Blue Jays,New York Yankees,10107,R
2021-04-03,Minnesota Twins,Milwaukee Brewers,11383,R
2021-04-03,Chicago White Sox,Los Angeles Angels,12043,R
2021-04-03,Baltimore Orioles,Boston Red Sox,4571,R
2021-04-03,Pittsburgh Pirates,Chicago Cubs,10343,R
2021-04-03,St. Louis Cardinals,Cincinnati Reds,12213,R
2021-04-03,Los Angeles Dodgers,Colorado Rockies,20688,R
2021-04-03,Cleveland Indians,Detroit Tigers,8000,R
2021-04-03,Texas Rangers,Kansas City Royals,8889,R
2021-04-04,Houston Astros,Oakland Athletics,4504,R
2021-04-04,Arizona Diamondbacks,San Diego Padres,10350,R
2021-04-04,Atlanta Braves,Philadelphia Phillies,10773,R
2021-04-04,Toronto Blue Jays,New York Yankees,10066,R
2021-04-04,Minnesota Twins,Milwaukee Brewers,10666,R
2021-04-04,Chicago White Sox,Los Angeles Angels,12396,R
2021-04-04,Baltimore Orioles,Boston Red Sox,4458,R
2021-04-04,Pittsburgh Pirates,Chicago Cubs,10343,R
2021-04-04,St. Louis Cardinals,Cincinnati Reds,11629,R
2021-04-04,Los Angeles Dodgers,Colorado Rockies,20368,R
2021-04-04,Cleveland Indians,Detroit Tigers,8000,R
2021-04-04,Texas Rangers,Kansas City Royals,8869,R
2021-04-05,Los Angeles Dodgers,Oakland Athletics,6653,R
2021-04-05,San Francisco Giants,San Diego Padres,10350,R
2021-04-05,Chicago White Sox,Seattle Mariners,6436,R
2021-04-05,Toronto Blue Jays,Texas Rangers,38238,R
2021-04-05,New York Mets,Philadelphia Phillies,10782,R
2021-04-05,St. Louis Cardinals,Miami Marlins,4605,R
2021-04-05,Baltimore Orioles,New York Yankees,9008,R
2021-04-05,Houston Astros,Los Angeles Angels,13447,R
2021-04-05,Tampa Bay Rays,Boston Red Sox,4577,R
2021-04-05,Milwaukee Brewers,Chicago Cubs,10343,R
2021-04-05,Pittsburgh Pirates,Cincinnati Reds,9097,R
2021-04-05,Kansas City Royals,Cleveland Indians,8914,R
2021-04-05,Minnesota Twins,Detroit Tigers,7232,R
2021-04-06,Los Angeles Dodgers,Oakland Athletics,7672,R
2021-04-06,San Francisco Giants,San Diego Padres,10350,R
2021-04-06,Chicago White Sox,Seattle Mariners,7980,R
2021-04-06,Toronto Blue Jays,Texas Rangers,18585,R
2021-04-06,New York Mets,Philadelphia Phillies,10752,R
2021-04-06,St. Louis Cardinals,Miami Marlins,4982,R
2021-04-06,Baltimore Orioles,New York Yankees,9404,R
2021-04-06,Houston Astros,Los Angeles Angels,11122,R
2021-04-06,Tampa Bay Rays,Boston Red Sox,4682,R
2021-04-06,Milwaukee Brewers,Chicago Cubs,10343,R
2021-04-06,Pittsburgh Pirates,Cincinnati Reds,11093,R
2021-04-06,Arizona Diamondbacks,Colorado Rockies,10240,R
2021-04-06,Minnesota Twins,Detroit Tigers,7306,R
2021-04-06,Atlanta Braves,Washington Nationals,4801,R
2021-04-07,Los Angeles Dodgers,Oakland Athletics,8131,R
2021-04-07,San Francisco Giants,San Diego Padres,10350,R
2021-04-07,Chicago White Sox,Seattle Mariners,7429,R
2021-04-07,Toronto Blue Jays,Texas Rangers,16876,R
2021-04-07,New York Mets,Philadelphia Phillies,10807,R
2021-04-07,St. Louis Cardinals,Miami Marlins,5244,R
2021-04-07,Baltimore Orioles,New York Yankees,10254,R
2021-04-07,Tampa Bay Rays,Boston Red Sox,4751,R
2021-04-07,Milwaukee Brewers,Chicago Cubs,10343,R
2021-04-07,Pittsburgh Pirates,Cincinnati Reds,11463,R
2021-04-07,Kansas City Royals,Cleveland Indians,5908,R
2021-04-07,Arizona Diamondbacks,Colorado Rockies,12894,R
2021-04-07,Minnesota Twins,Detroit Tigers,7568,R
2021-04-07,Atlanta Braves,Washington Nationals,4927,R
2021-04-08,Chicago Cubs,Pittsburgh Pirates,7749,R
2021-04-08,Milwaukee Brewers,St. Louis Cardinals,13328,R
2021-04-08,Los Angeles Angels,Toronto Blue Jays,1348,R
2021-04-08,Seattle Mariners,Minnesota Twins,9675,R
2021-04-08,Kansas City Royals,Chicago White Sox,8207,R
2021-04-08,Boston Red Sox,Baltimore Orioles,10150,R
2021-04-08,Arizona Diamondbacks,Colorado Rockies,10836,R
2021-04-08,Oakland Athletics,Houston Astros,21765,R
2021-04-08,Miami Marlins,New York Mets,8492,R
2021-04-09,Colorado Rockies,San Francisco Giants,7390,R
2021-04-09,New York Yankees,Tampa Bay Rays,9021,R
2021-04-09,San Diego Padres,Texas Rangers,27575,R
2021-04-09,Los Angeles Angels,Toronto Blue Jays,1523,R
2021-04-09,Philadelphia Phillies,Atlanta Braves,14342,R
2021-04-09,Cincinnati Reds,Arizona Diamondbacks,19385,R
2021-04-09,Detroit Tigers,Cleveland Indians,7775,R
2021-04-09,Oakland Athletics,Houston Astros,21768,R
2021-04-09,Washington Nationals,Los Angeles Dodgers,15036,R
2021-04-10,Chicago Cubs,Pittsburgh Pirates,7052,R
2021-04-10,Colorado Rockies,San Francisco Giants,6176,R
2021-04-10,Milwaukee Brewers,St. Louis Cardinals,13304,R
2021-04-10,New York Yankees,Tampa Bay Rays,6270,R
2021-04-10,San Diego Padres,Texas Rangers,35856,R
2021-04-10,Los Angeles Angels,Toronto Blue Jays,1292,R
2021-04-10,Seattle Mariners,Minnesota Twins,9817,R
2021-04-10,Philadelphia Phillies,Atlanta Braves,14394,R
2021-04-10,Cincinnati Reds,Arizona Diamondbacks,13208,R
2021-04-10,Boston Red Sox,Baltimore Orioles,9307,R
2021-04-10,Detroit Tigers,Cleveland Indians,7570,R
2021-04-10,Oakland Athletics,Houston Astros,21760,R
2021-04-10,Washington Nationals,Los Angeles Dodgers,15021,R
2021-04-10,Miami Marlins,New York Mets,8419,R
2021-04-11,Chicago Cubs,Pittsburgh Pirates,6851,R
2021-04-11,Colorado Rockies,San Francisco Giants,6560,R
2021-04-11,Milwaukee Brewers,St. Louis Cardinals,13176,R
2021-04-11,New York Yankees,Tampa Bay Rays,6965,R
2021-04-11,San Diego Padres,Texas Rangers,26723,R
2021-04-11,Seattle Mariners,Minnesota Twins,9792,R
2021-04-11,Philadelphia Phillies,Atlanta Braves,14221,R
2021-04-11,Kansas City Royals,Chicago White Sox,7695,R
2021-04-11,Cincinnati Reds,Arizona Diamondbacks,10981,R
2021-04-11,Boston Red Sox,Baltimore Orioles,8171,R
2021-04-11,Detroit Tigers,Cleveland Indians,6859,R
2021-04-11,Washington Nationals,Los Angeles Dodgers,15049,R
2021-04-11,Miami Marlins,New York Mets,8199,R
2021-04-12,San Diego Padres,Pittsburgh Pirates,4068,R
2021-04-12,Cincinnati Reds,San Francisco Giants,3662,R
2021-04-12,Washington Nationals,St. Louis Cardinals,12894,R
2021-04-12,Texas Rangers,Tampa Bay Rays,3627,R
2021-04-12,New York Yankees,Toronto Blue Jays,1576,R
2021-04-12,Miami Marlins,Atlanta Braves,11830,R
2021-04-12,Cleveland Indians,Chicago White Sox,7393,R
2021-04-12,Chicago Cubs,Milwaukee Brewers,11209,R
2021-04-12,Oakland Athletics,Arizona Diamondbacks,8768,R
2021-04-12,Detroit Tigers,Houston Astros,15779,R
2021-04-12,Los Angeles Angels,Kansas City Royals,6962,R
2021-04-13,San Diego Padres,Pittsburgh Pirates,4814,R
2021-04-13,Cincinnati Reds,San Francisco Giants,3673,R
2021-04-13,Washington Nationals,St. Louis Cardinals,12714,R
2021-04-13,Texas Rangers,Tampa Bay Rays,4753,R
2021-04-13,New York Yankees,Toronto Blue Jays,1550,R
2021-04-13,Boston Red Sox,Minnesota Twins,6724,R
2021-04-13,Miami Marlins,Atlanta Braves,12036,R
2021-04-13,Cleveland Indians,Chicago White Sox,7102,R
2021-04-13,Chicago Cubs,Milwaukee Brewers,11025,R
2021-04-13,Oakland Athletics,Arizona Diamondbacks,7010,R
2021-04-13,Seattle Mariners,Baltimore Orioles,4147,R
2021-04-13,Detroit Tigers,Houston Astros,17080,R
2021-04-13,Los Angeles Angels,Kansas City Royals,6404,R
2021-04-13,Colorado Rockies,Los Angeles Dodgers,15021,R
2021-04-13,Philadelphia Phillies,New York Mets,7611,R
2021-04-14,San Diego Padres,Pittsburgh Pirates,5228,R
2021-04-14,Cincinnati Reds,San Francisco Giants,6409,R
2021-04-14,Washington Nationals,St. Louis Cardinals,13206,R
2021-04-14,Texas Rangers,Tampa Bay Rays,3021,R
2021-04-14,New York Yankees,Toronto Blue Jays,1613,R
2021-04-14,Boston Red Sox,Minnesota Twins,7074,R
2021-04-14,Miami Marlins,Atlanta Braves,12480,R
2021-04-14,Cleveland Indians,Chicago White Sox,7148,R
2021-04-14,Chicago Cubs,Milwaukee Brewers,10598,R
2021-04-14,Detroit Tigers,Houston Astros,14720,R
2021-04-14,Los Angeles Angels,Kansas City Royals,6814,R
2021-04-14,Colorado Rockies,Los Angeles Dodgers,15093,R
2021-04-14,Philadelphia Phillies,New York Mets,7520,R
2021-04-15,Detroit Tigers,Oakland Athletics,3004,R
2021-04-15,San Diego Padres,Pittsburgh Pirates,4023,R
2021-04-15,Texas Rangers,Tampa Bay Rays,4217,R
2021-04-15,Boston Red Sox,Minnesota Twins,7925,R
2021-04-15,Miami Marlins,Atlanta Braves,11739,R
2021-04-15,Cleveland Indians,Chicago White Sox,7049,R
2021-04-15,Seattle Mariners,Baltimore Orioles,5060,R
2021-04-15,Toronto Blue Jays,Kansas City Royals,6266,R
2021-04-15,Colorado Rockies,Los Angeles Dodgers,15129,R
2021-04-15,Arizona Diamondbacks,Washington Nationals,6666,R
2021-04-16,Detroit Tigers,Oakland Athletics,4538,R
2021-04-16,Los Angeles Dodgers,San Diego Padres,15250,R
2021-04-16,Houston Astros,Seattle Mariners,8967,R
2021-04-16,Baltimore Orioles,Texas Rangers,22173,R
2021-04-16,St. Louis Cardinals,Philadelphia Phillies,10842,R
2021-04-16,San Francisco Giants,Miami Marlins,5734,R
2021-04-16,Tampa Bay Rays,New York Yankees,10202,R
2021-04-16,Pittsburgh Pirates,Milwaukee Brewers,11967,R
2021-04-16,Minnesota Twins,Los Angeles Angels,13428,R
2021-04-16,Atlanta Braves,Chicago Cubs,10343,R
2021-04-16,Cleveland Indians,Cincinnati Reds,12497,R
2021-04-16,Arizona Diamondbacks,Washington Nationals,8056,R
2021-04-17,Detroit Tigers,Oakland Athletics,6931,R
2021-04-17,Los Angeles Dodgers,San Diego Padres,15250,R
2021-04-17,Houston Astros,Seattle Mariners,8960,R
2021-04-17,Baltimore Orioles,Texas Rangers,29338,R
2021-04-17,St. Louis Cardinals,Philadelphia Phillies,10890,R
2021-04-17,San Francisco Giants,Miami Marlins,6014,R
2021-04-17,Tampa Bay Rays,New York Yankees,10583,R
2021-04-17,Pittsburgh Pirates,Milwaukee Brewers,12038,R
2021-04-17,Chicago White Sox,Boston Red Sox,4668,R
2021-04-17,Atlanta Braves,Chicago Cubs,10343,R
2021-04-17,Cleveland Indians,Cincinnati Reds,12598,R
2021-04-17,New York Mets,Colorado Rockies,13906,R
2021-04-17,Toronto Blue Jays,Kansas City Royals,9048,R
2021-04-17,Arizona Diamondbacks,Washington Nationals,8305,R
2021-04-18,Detroit Tigers,Oakland Athletics,6917,R
2021-04-18,Los Angeles Dodgers,San Diego Padres,15250,R
2021-04-18,Houston Astros,Seattle Mariners,8959,R
2021-04-18,Baltimore Orioles,Texas Rangers,24267,R
2021-04-18,St. Louis Cardinals,Philadelphia Phillies,10876,R
2021-04-18,San Francisco Giants,Miami Marlins,6129,R
2021-04-18,Tampa Bay Rays,New York Yankees,10606,R
2021-04-18,Pittsburgh Pirates,Milwaukee Brewers,11772,R
2021-04-18,Chicago White Sox,Boston Red Sox,4679,R
2021-04-18,Atlanta Braves,Chicago Cubs,10343,R
2021-04-18,Cleveland Indians,Cincinnati Reds,12551,R
2021-04-18,New York Mets,Colorado Rockies,15082,R
2021-04-18,Toronto Blue Jays,Kansas City Royals,9042,R
2021-04-18,Arizona Diamondbacks,Washington Nationals,8478,R
2021-04-19,Milwaukee Brewers,San Diego Padres,15250,R
2021-04-19,Los Angeles Dodgers,Seattle Mariners,8999,R
2021-04-19,San Francisco Giants,Philadelphia Phillies,9510,R
2021-04-19,Texas Rangers,Los Angeles Angels,11396,R
2021-04-19,Chicago White Sox,Boston Red Sox,4738,R
2021-04-19,Tampa Bay Rays,Kansas City Royals,5589,R
2021-04-19,St. Louis Cardinals,Washington Nationals,7542,R
2021-04-20,Minnesota Twins,Oakland Athletics,3322,R
2021-04-20,Milwaukee Brewers,San Diego Padres,15250,R
2021-04-20,Los Angeles Dodgers,Seattle Mariners,8998,R
2021-04-20,San Francisco Giants,Philadelphia Phillies,10584,R
2021-04-20,Baltimore Orioles,Miami Marlins,4540,R
2021-04-20,Atlanta Braves,New York Yankees,10017,R
2021-04-20,Texas Rangers,Los Angeles Angels,12544,R
2021-04-20,Toronto Blue Jays,Boston Red Sox,4728,R
2021-04-20,New York Mets,Chicago Cubs,10137,R
2021-04-20,Arizona Diamondbacks,Cincinnati Reds,8085,R
2021-04-20,Chicago White Sox,Cleveland Indians,4176,R
2021-04-20,Houston Astros,Colorado Rockies,10144,R
2021-04-20,Tampa Bay Rays,Kansas City Royals,4481,R
2021-04-20,St. Louis Cardinals,Washington Nationals,8418,R
2021-04-21,Minnesota Twins,Oakland Athletics,3405,R
2021-04-21,Milwaukee Brewers,San Diego Padres,15250,R
2021-04-21,San Francisco Giants,Philadelphia Phillies,9537,R
2021-04-21,Baltimore Orioles,Miami Marlins,4028,R
2021-04-21,Atlanta Braves,New York Yankees,9634,R
2021-04-21,Texas Rangers,Los Angeles Angels,9207,R
2021-04-21,Toronto Blue Jays,Boston Red Sox,4661,R
2021-04-21,New York Mets,Chicago Cubs,10196,R
2021-04-21,Arizona Diamondbacks,Cincinnati Reds,8025,R
2021-04-21,Houston Astros,Colorado Rockies,7120,R
2021-04-21,Pittsburgh Pirates,Detroit Tigers,7461,R
2021-04-21,Tampa Bay Rays,Kansas City Royals,5053,R
2021-04-21,St. Louis Cardinals,Washington Nationals,7769,R
2021-04-22,Miami Marlins,San Francisco Giants,4580,R
2021-04-22,Seattle Mariners,Boston Red Sox,4617,R
2021-04-22,New York Mets,Chicago Cubs,10343,R
2021-04-22,Arizona Diamondbacks,Cincinnati Reds,7549,R
2021-04-22,New York Yankees,Cleveland Indians,6380,R
2021-04-22,Pittsburgh Pirates,Detroit Tigers,7314,R
2021-04-22,Los Angeles Angels,Houston Astros,13985,R
2021-04-22,San Diego Padres,Los Angeles Dodgers,15167,R
2021-04-23,Miami Marlins,San Francisco Giants,6657,R
2021-04-23,Cincinnati Reds,St. Louis Cardinals,13196,R
2021-04-23,Toronto Blue Jays,Tampa Bay Rays,5564,R
2021-04-23,Pittsburgh Pirates,Minnesota Twins,9541,R
2021-04-23,Arizona Diamondbacks,Atlanta Braves,19258,R
2021-04-23,Texas Rangers,Chicago White Sox,8969,R
2021-04-23,Oakland Athletics,Baltimore Orioles,7574,R
2021-04-23,Seattle Mariners,Boston Red Sox,4646,R
2021-04-23,Milwaukee Brewers,Chicago Cubs,10343,R
2021-04-23,New York Yankees,Cleveland Indians,8662,R
2021-04-23,Philadelphia Phillies,Colorado Rockies,14025,R
2021-04-23,Kansas City Royals,Detroit Tigers,8000,R
2021-04-23,Los Angeles Angels,Houston Astros,21728,R
2021-04-23,San Diego Padres,Los Angeles Dodgers,15222,R
2021-04-23,Washington Nationals,New York Mets,8130,R
2021-04-24,Miami Marlins,San Francisco Giants,8282,R
2021-04-24,Cincinnati Reds,St. Louis Cardinals,13176,R
2021-04-24,Toronto Blue Jays,Tampa Bay Rays,6688,R
2021-04-24,Pittsburgh Pirates,Minnesota Twins,9718,R
2021-04-24,Texas Rangers,Chicago White Sox,8556,R
2021-04-24,Oakland Athletics,Baltimore Orioles,7616,R
2021-04-24,Seattle Mariners,Boston Red Sox,4621,R
2021-04-24,Milwaukee Brewers,Chicago Cubs,10343,R
2021-04-24,New York Yankees,Cleveland Indians,8817,R
2021-04-24,Philadelphia Phillies,Colorado Rockies,20214,R
2021-04-24,Kansas City Royals,Detroit Tigers,8000,R
2021-04-24,Los Angeles Angels,Houston Astros,21820,R
2021-04-24,San Diego Padres,Los Angeles Dodgers,15596,R
2021-04-24,Washington Nationals,New York Mets,8051,R
2021-04-25,Miami Marlins,San Francisco Giants,7572,R
2021-04-25,Cincinnati Reds,St. Louis Cardinals,13348,R
2021-04-25,Toronto Blue Jays,Tampa Bay Rays,6372,R
2021-04-25,Pittsburgh Pirates,Minnesota Twins,9396,R
2021-04-25,Arizona Diamondbacks,Atlanta Braves,20693,R
2021-04-25,Texas Rangers,Chicago White Sox,9285,R
2021-04-25,Oakland Athletics,Baltimore Orioles,8107,R
2021-04-25,Seattle Mariners,Boston Red Sox,4510,R
2021-04-25,Milwaukee Brewers,Chicago Cubs,10343,R
2021-04-25,New York Yankees,Cleveland Indians,8766,R
2021-04-25,Philadelphia Phillies,Colorado Rockies,20244,R
2021-04-25,Kansas City Royals,Detroit Tigers,8000,R
2021-04-25,Los Angeles Angels,Houston Astros,21781,R
2021-04-25,San Diego Padres,Los Angeles Dodgers,15316,R
2021-04-25,Washington Nationals,New York Mets,7784,R
2021-04-26,Colorado Rockies,San Francisco Giants,4129,R
2021-04-26,Philadelphia Phillies,St. Louis Cardinals,12866,R
2021-04-26,Oakland Athletics,Tampa Bay Rays,2981,R
2021-04-26,Los Angeles Angels,Texas Rangers,17766,R
2021-04-26,Chicago Cubs,Atlanta Braves,17956,R
2021-04-26,Miami Marlins,Milwaukee Brewers,10749,R
2021-04-26,New York Yankees,Baltimore Orioles,6367,R
2021-04-26,Minnesota Twins,Cleveland Indians,4555,R
2021-04-26,Kansas City Royals,Detroit Tigers,7288,R
2021-04-26,Seattle Mariners,Houston Astros,11862,R
2021-04-26,Cincinnati Reds,Los Angeles Dodgers,15199,R
2021-04-27,Kansas City Royals,Pittsburgh Pirates,5510,R
2021-04-27,Colorado Rockies,San Francisco Giants,5595,R
2021-04-27,Philadelphia Phillies,St. Louis Cardinals,12895,R
2021-04-27,Oakland Athletics,Tampa Bay Rays,2924,R
2021-04-27,Los Angeles Angels,Texas Rangers,16103,R
2021-04-27,Washington Nationals,Toronto Blue Jays,1471,R
2021-04-27,Chicago Cubs,Atlanta Braves,17603,R
2021-04-27,Detroit Tigers,Chicago White Sox,9445,R
2021-04-27,Miami Marlins,Milwaukee Brewers,10620,R
2021-04-27,San Diego Padres,Arizona Diamondbacks,10486,R
2021-04-27,New York Yankees,Baltimore Orioles,6662,R
2021-04-27,Minnesota Twins,Cleveland Indians,6303,R
2021-04-27,Seattle Mariners,Houston Astros,14413,R
2021-04-27,Cincinnati Reds,Los Angeles Dodgers,15306,R
2021-04-27,Boston Red Sox,New York Mets,7917,R
2021-04-28,Kansas City Royals,Pittsburgh Pirates,4226,R
2021-04-28,Colorado Rockies,San Francisco Giants,6163,R
2021-04-28,Philadelphia Phillies,St. Louis Cardinals,12701,R
2021-04-28,Oakland Athletics,Tampa Bay Rays,3374,R
2021-04-28,Los Angeles Angels,Texas Rangers,17875,R
2021-04-28,Washington Nationals,Toronto Blue Jays,1274,R
2021-04-28,Chicago Cubs,Atlanta Braves,18709,R
2021-04-28,Miami Marlins,Milwaukee Brewers,11564,R
2021-04-28,San Diego Padres,Arizona Diamondbacks,9495,R
2021-04-28,New York Yankees,Baltimore Orioles,7338,R
2021-04-28,Minnesota Twins,Cleveland Indians,5903,R
2021-04-28,Seattle Mariners,Houston Astros,12707,R
2021-04-28,Cincinnati Reds,Los Angeles Dodgers,15052,R
2021-04-28,Boston Red Sox,New York Mets,8051,R
2021-04-29,Philadelphia Phillies,St. Louis Cardinals,13159,R
2021-04-29,Oakland Athletics,Tampa Bay Rays,3737,R
2021-04-29,Boston Red Sox,Texas Rangers,23640,R
2021-04-29,Chicago Cubs,Atlanta Braves,19661,R
2021-04-29,Detroit Tigers,Chicago White Sox,7628,R
2021-04-29,Los Angeles Dodgers,Milwaukee Brewers,10621,R
2021-04-29,Colorado Rockies,Arizona Diamondbacks,6843,R
2021-04-29,New York Yankees,Baltimore Orioles,7738,R
2021-04-29,Seattle Mariners,Houston Astros,14149,R
2021-04-30,Baltimore Orioles,Oakland Athletics,5777,R
2021-04-30,St. Louis Cardinals,Pittsburgh Pirates,5953,R
2021-04-30,San Francisco Giants,San Diego Padres,15250,R
2021-04-30,Los Angeles Angels,Seattle Mariners,8632,R
2021-04-30,Houston Astros,Tampa Bay Rays,6169,R
2021-04-30,Boston Red Sox,Texas Rangers,28267,R
2021-04-30,Atlanta Braves,Toronto Blue Jays,1629,R
2021-04-30,Kansas City Royals,Minnesota Twins,9982,R
2021-04-30,New York Mets,Philadelphia Phillies,10914,R
2021-04-30,Cleveland Indians,Chicago White Sox,9405,R
2021-04-30,Detroit Tigers,New York Yankees,9523,R
2021-04-30,Los Angeles Dodgers,Milwaukee Brewers,12044,R
2021-04-30,Colorado Rockies,Arizona Diamondbacks,13184,R
2021-04-30,Chicago Cubs,Cincinnati Reds,16090,R
2021-04-30,Miami Marlins,Washington Nationals,8295,R
2021-05-01,Baltimore Orioles,Oakland Athletics,6469,R
2021-05-01,St. Louis Cardinals,Pittsburgh Pirates,7331,R
2021-05-01,San Francisco Giants,San Diego Padres,15250,R
2021-05-01,Los Angeles Angels,Seattle Mariners,8993,R
2021-05-01,Houston Astros,Tampa Bay Rays,7335,R
2021-05-01,Boston Red Sox,Texas Rangers,35129,R
2021-05-01,Atlanta Braves,Toronto Blue Jays,1634,R
2021-05-01,Kansas City Royals,Minnesota Twins,9993,R
2021-05-01,New York Mets,Philadelphia Phillies,10948,R
2021-05-01,Cleveland Indians,Chicago White Sox,9451,R
2021-05-01,Detroit Tigers,New York Yankees,10015,R
2021-05-01,Los Angeles Dodgers,Milwaukee Brewers,12139,R
2021-05-01,Colorado Rockies,Arizona Diamondbacks,15734,R
2021-05-01,Chicago Cubs,Cincinnati Reds,17077,R
2021-05-01,Miami Marlins,Washington Nationals,8510,R
2021-05-02,Baltimore Orioles,Oakland Athletics,5862,R
2021-05-02,St. Louis Cardinals,Pittsburgh Pirates,7343,R
2021-05-02,San Francisco Giants,San Diego Padres,15250,R
2021-05-02,Los Angeles Angels,Seattle Mariners,9000,R
2021-05-02,Houston Astros,Tampa Bay Rays,6933,R
2021-05-02,Boston Red Sox,Texas Rangers,29190,R
2021-05-02,Atlanta Braves,Toronto Blue Jays,1554,R
2021-05-02,Kansas City Royals,Minnesota Twins,9997,R
2021-05-02,New York Mets,Philadelphia Phillies,10964,R
2021-05-02,Cleveland Indians,Chicago White Sox,9471,R
2021-05-02,Detroit Tigers,New York Yankees,10021,R
2021-05-02,Los Angeles Dodgers,Milwaukee Brewers,12130,R
2021-05-02,Colorado Rockies,Arizona Diamondbacks,11395,R
2021-05-02,Chicago Cubs,Cincinnati Reds,16755,R
2021-05-02,Miami Marlins,Washington Nationals,8482,R
2021-05-03,Toronto Blue Jays,Oakland Athletics,2944,R
2021-05-03,Pittsburgh Pirates,San Diego Padres,15250,R
2021-05-03,Baltimore Orioles,Seattle Mariners,5776,R
2021-05-03,New York Mets,St. Louis Cardinals,12686,R
2021-05-03,Texas Rangers,Minnesota Twins,8071,R
2021-05-03,Milwaukee Brewers,Philadelphia Phillies,10651,R
2021-05-03,Tampa Bay Rays,Los Angeles Angels,10641,R
2021-05-03,Cleveland Indians,Kansas City Royals,6919,R
2021-05-04,Toronto Blue Jays,Oakland Athletics,2970,R
2021-05-04,Pittsburgh Pirates,San Diego Padres,15250,R
2021-05-04,Baltimore Orioles,Seattle Mariners,6504,R
2021-05-04,Texas Rangers,Minnesota Twins,8022,R
2021-05-04,Milwaukee Brewers,Philadelphia Phillies,10388,R
2021-05-04,Arizona Diamondbacks,Miami Marlins,3898,R
2021-05-04,Houston Astros,New York Yankees,10850,R
2021-05-04,Tampa Bay Rays,Los Angeles Angels,8152,R
2021-05-04,Detroit Tigers,Boston Red Sox,4677,R
2021-05-04,Los Angeles Dodgers,Chicago Cubs,10343,R
2021-05-04,Chicago White Sox,Cincinnati Reds,10209,R
2021-05-04,San Francisco Giants,Colorado Rockies,10213,R
2021-05-04,Cleveland Indians,Kansas City Royals,5997,R
2021-05-04,Atlanta Braves,Washington Nationals,8156,R
2021-05-05,Toronto Blue Jays,Oakland Athletics,2893,R
2021-05-05,Pittsburgh Pirates,San Diego Padres,15250,R
2021-05-05,Baltimore Orioles,Seattle Mariners,6742,R
2021-05-05,New York Mets,St. Louis Cardinals,13187,R
2021-05-05,Texas Rangers,Minnesota Twins,7853,R
2021-05-05,Milwaukee Brewers,Philadelphia Phillies,10110,R
2021-05-05,Arizona Diamondbacks,Miami Marlins,3573,R
2021-05-05,Houston Astros,New York Yankees,9895,R
2021-05-05,Tampa Bay Rays,Los Angeles Angels,9169,R
2021-05-05,Detroit Tigers,Boston Red Sox,4661,R
2021-05-05,Los Angeles Dodgers,Chicago Cubs,10343,R
2021-05-05,Chicago White Sox,Cincinnati Reds,10247,R
2021-05-05,San Francisco Giants,Colorado Rockies,9521,R
2021-05-05,Cleveland Indians,Kansas City Royals,9640,R
2021-05-05,Atlanta Braves,Washington Nationals,8400,R
2021-05-06,Toronto Blue Jays,Oakland Athletics,3611,R
2021-05-06,New York Mets,St. Louis Cardinals,12939,R
2021-05-06,Texas Rangers,Minnesota Twins,8760,R
2021-05-06,Milwaukee Brewers,Philadelphia Phillies,10768,R
2021-05-06,Arizona Diamondbacks,Miami Marlins,4049,R
2021-05-06,Houston Astros,New York Yankees,10042,R
2021-05-06,Tampa Bay Rays,Los Angeles Angels,8840,R
2021-05-06,Detroit Tigers,Boston Red Sox,4734,R
2021-05-06,Cleveland Indians,Kansas City Royals,9259,R
2021-05-06,Atlanta Braves,Washington Nationals,8561,R
2021-05-07,Tampa Bay Rays,Oakland Athletics,5058,R
2021-05-07,San Diego Padres,San Francisco Giants,9219,R
2021-05-07,Colorado Rockies,St. Louis Cardinals,13435,R
2021-05-07,Seattle Mariners,Texas Rangers,26047,R
2021-05-07,Philadelphia Phillies,Atlanta Braves,38952,R
2021-05-07,Milwaukee Brewers,Miami Marlins,5507,R
